Unique Store_ID,Unique Product_ID,23.11.2019,30.11.2019,07.12.2019,14.12.2019,21.12.2019,28.12.2019,04.01.2020,11.01.2020,18.01.2020,25.01.2020,01.02.2020,08.02.2020,15.02.2020
Store 1,Product 772,5,4,5,8,5,4,2,8,7,6,6,0,2
Store 1,Product 598,12,13,9,9,10,9,6,6,4,4,10,10,2
Store 1,Product 590,13,8,10,8,5,1,5,3,7,6,10,4,6
Store 1,Product 372,6,6,5,4,3,3,2,13,13,11,9,7,7
Store 1,Product 346,8,12,14,7,9,8,6,5,4,4,4,4,4
Store 1,Product 305,21,21,19,17,16,20,20,18,23,4,34,30,16
Store 1,Product 331,10,6,6,8,6,6,16,15,13,4,16,0,0
Store 1,Product 312,15,22,16,14,8,6,18,10,23,27,25,5,17
Store 1,Product 309,13,8,9,11,7,7,0,2,4,5,15,17,33
Store 1,Product 292,11,10,0,20,18,16,14,12,12,7,1,11,9
Store 1,Product 658,5,10,7,4,10,3,8,14,12,4,-4,10,6
Store 1,Product 588,36,36,27,27,18,15,15,16,19,5,-13,35,45
Store 1,Product 182,3,1,6,5,5,3,2,3,4,3,-1,5,5
Store 1,Product 621,11,9,9,12,13,12,11,13,6,4,16,8,8
Store 1,Product 558,4,6,4,5,3,6,5,4,5,3,-3,3,3
Store 1,Product 526,7,9,6,4,5,6,5,5,3,8,-2,8,6
Store 1,Product 599,3,4,4,4,3,2,3,3,2,9,5,5,3
Store 1,Product 662,3,3,3,2,3,3,3,2,2,2,2,2,0
Store 1,Product 642,32,35,28,23,20,17,17,14,15,17,17,11,15
Store 1,Product 728,23,21,28,26,29,32,28,24,21,37,73,43,35
Store 1,Product 744,31,25,13,23,16,16,14,14,12,-8,32,30,32
Store 1,Product 735,44,41,43,34,43,35,33,39,22,39,83,55,29
Store 1,Product 704,49,59,45,56,41,53,30,24,27,94,74,66,26
Store 1,Product 706,24,21,13,12,10,5,8,6,1,31,27,19,15
Store 1,Product 702,164,182,176,228,231,206,223,236,222,254,584,570,324
Store 1,Product 644,29,28,17,20,17,12,15,15,18,30,42,18,6
Store 1,Product 567,42,47,26,23,25,14,13,24,38,25,27,27,-11
Store 1,Product 632,18,17,8,7,7,7,8,6,4,9,1,3,-3
Store 1,Product 648,11,13,8,7,5,7,3,6,8,23,11,7,-1
